timestamp, user id, event
2013-09-04T13:00:02.548+03:00,35515,save start
2013-09-04T13:00:09.836+03:00,21536,save start
2013-09-04T13:00:12.178+03:00,21536,save completed
2013-09-04T13:00:15.029+03:00,23261,save start
2013-09-04T13:00:17.550+03:00,23261,save completed
2013-09-04T13:00:17.753+03:00,33362,save start
2013-09-04T13:00:18.245+03:00,33362,provision Blog
2013-09-04T13:00:21.049+03:00,33362,save completed
2013-09-04T13:00:27.369+03:00,27639,save start
2013-09-04T13:00:30.096+03:00,27639,save Failure
2013-09-04T13:00:31.455+03:00,54435,save start
2013-09-04T13:00:34.411+03:00,54435,provision Blog
2013-09-04T13:00:34.949+03:00,54435,provision eComm
2013-09-04T13:00:39.671+03:00,13012,save start
2013-09-04T13:00:41.219+03:00,13012,save completed
2013-09-04T13:00:41.950+03:00,54435,save completed
2013-09-04T13:00:43.791+03:00,18954,save start
2013-09-04T13:00:45.287+03:00,12603,save start
2013-09-04T13:00:45.943+03:00,18954,save completed
2013-09-04T13:00:46.716+03:00,12603,save completed
2013-09-04T13:00:46.874+03:00,10751,save start
2013-09-04T13:00:48.020+03:00,10751,save completed
2013-09-04T13:00:53.181+03:00,47844,save start
2013-09-04T13:00:55.659+03:00,59251,save start
2013-09-04T13:00:56.620+03:00,54956,save start
2013-09-04T13:00:58.899+03:00,47844,save completed
2013-09-04T13:00:59.744+03:00,34649,save start
2013-09-04T13:01:03.482+03:00,34649,save completed
2013-09-04T13:01:07.706+03:00,50889,save start
2013-09-04T13:01:09.513+03:00,57960,save start
2013-09-04T13:01:10.076+03:00,48055,save start
2013-09-04T13:01:15.074+03:00,50889,provision Blog
2013-09-04T13:01:15.880+03:00,50889,save completed
2013-09-04T13:01:16.182+03:00,15578,save start
2013-09-04T13:01:16.312+03:00,48055,save completed
2013-09-04T13:01:17.659+03:00,15578,provision Blog
2013-09-04T13:01:17.769+03:00,52793,save start
2013-09-04T13:01:17.871+03:00,15578,save completed
2013-09-04T13:01:20.501+03:00,18255,save start
2013-09-04T13:01:21.224+03:00,37938,save start
2013-09-04T13:01:21.266+03:00,57960,provision eComm
2013-09-04T13:01:21.321+03:00,55679,save start
2013-09-04T13:01:22.382+03:00,18255,save completed
2013-09-04T13:01:25.154+03:00,47454,save start
2013-09-04T13:01:25.445+03:00,37938,save completed
2013-09-04T13:01:25.549+03:00,57960,save completed
2013-09-04T13:01:27.312+03:00,52793,save completed
2013-09-04T13:01:27.469+03:00,55679,provision Blog
2013-09-04T13:01:28.986+03:00,55679,provision eComm
2013-09-04T13:01:29.340+03:00,47454,provision Blog
2013-09-04T13:01:30.917+03:00,47454,save completed
2013-09-04T13:01:32.609+03:00,55679,save completed
2013-09-04T13:01:33.840+03:00,52132,save start
2013-09-04T13:01:34.122+03:00,52132,save Failure
2013-09-04T13:01:35.306+03:00,23290,save start
2013-09-04T13:01:38.027+03:00,23290,save completed
2013-09-04T13:01:40.626+03:00,52132,provision eComm
2013-09-04T13:01:40.878+03:00,17323,save start
2013-09-04T13:01:42.968+03:00,17323,save completed
2013-09-04T13:01:45.618+03:00,36595,save start
2013-09-04T13:01:46.139+03:00,36595,provision Blog
